Data;Nota;Título;Preço Venda
30/04/2025;342;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;51,8
30/04/2025;343;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;51,8
05/05/2025;344;Transmissão de energia elétrica;50
05/05/2025;345;A igreja como poder eclesiástico e civil em Thomas Hobbes;56,6
05/05/2025;345;Discussões tusculanas;36,6
05/05/2025;345;A divinação;36,6
05/05/2025;345;As leis;53,3
05/05/2025;345;DA MISTICA A CIENCIA;53,3
05/05/2025;346;1a ed. PODE O SUBALTERNO FALAR?;27,2
05/05/2025;346;DISCURSO DE ODIO;46,4
05/05/2025;347;Promocional;5
06/05/2025;348;NATUREZA DA ARTE, A;76,8
07/05/2025;350;Na rota da educação: epistemologia, teoria, história;40
09/05/2025;351;VIOLENCIA REVOLUCIONARIA EM HA;49,6
09/05/2025;352;2a ed. CINCO PARADOXOS DA MODERNIDADE, OS;37,6
13/05/2025;354;"A noção de alma na ""Suma de Teologia"" de Tomás de Aquino";30
13/05/2025;355;DIALETICA INVERTIDA E OUTROS E;49,6
13/05/2025;356;ARTIFICACAO;20
13/05/2025;357;Transmissão de energia elétrica;50
14/05/2025;358;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;59,2
14/05/2025;359;1a ed. EMBRIAGUEZ;18,4
14/05/2025;360;As leis;40
14/05/2025;360;A igreja como poder eclesiástico e civil em Thomas Hobbes;42,5
14/05/2025;360;A igreja como poder eclesiástico e civil em Thomas Hobbes;42,5
19/05/2025;361;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;51,8
19/05/2025;362;INTRODUCAO A LOGICA - 2. EDICA;55,2
19/05/2025;363;OUTROS/LIVRO PATRIMONIOHISTORIAS DE UM BAIRRO EM QUADRINHOS;30
21/05/2025;364;OUTROS/LIVRO PATRIMONIOHISTORIAS DE UM BAIRRO EM QUADRINHOS;30
27/05/2025;365;1a ed. REMONTAGENS DO TEMPO SOFRIDO: O OLHO DA HISTORIA, II;52,8
27/05/2025;366;LITERATURA INFANTIL BRASILEIRA;46,4
27/05/2025;366;LEITURA, A;36,8
27/05/2025;367;1a ed. DA COR DE TERRA - REPRESENTACOES SOCIAIS DE PROFESSORES SOBRE OS ALUNOS NO CONTEXTO DA LUTA PELA TERRA;31,2
28/05/2025;368;1a ed. ENTRENOTAS - COMPREENSOES DE PESQUISA;32,8
30/05/2025;369;FE E SABER;20,8
30/05/2025;369;PERSISTENCIA DOS DEUSES, A;28,8
